Train_labels,Labels
mmsi,mmsi
mmsi_id,mmsi
mmsi_no,mmsi
mmsi_number,mmsi
maritime_mobile_service_identity,mmsi
maritimemobileserviceidentity,mmsi
timestamp,timestamp
timecode,timestamp
time_code,timestamp
distance_from_shore,distance_from_shore
distancefromshore,distance_from_shore
distance_from_sea_shore,distance_from_shore
distancefromseashore,distance_from_shore
distance_from_port,distance_from_port
distancefromport,distance_from_port
distance_from_sea_port,distance_from_port
distancefromseaport,distance_from_port
speed,speed
speedofvessel,speed
speed_of_vessel,speed
speed_of_boat,speed
speedofboat,speed
lat,lat
latitude,lat
parallels,lat
lon,lon
longitude,lon
meridians,lon
type,type
type_of_vessel,type
type_of_boat,type
typeofvessel,type
typeofboat,type
kind,type
course,course
is_fishing,is_fishing
course,course
course,course
course,course
is_fishing,is_fishing
is_fishing,is_fishing
is_fishing,is_fishing
unknown,unknown
unknown,unknown
unknown,unknown
unknown,unknown
source,source
source,source
source,source
source,source